"","listing_id","Mean","Max","Min","Median","Std"
"1",7881,23,31,6,29,11
"2",11156,14,28,2,14,9
"3",12351,16,28,4,19,8
"4",13782,21,31,2,23,11
"5",14250,27,31,11,30,6
"6",14935,16,26,1,24,11
"7",14974,11,28,1,7,10
"8",15253,12,29,3,11,8
"9",20865,21,31,1,26,11
"10",26174,4,10,1,2,4
"11",26741,23,31,3,24,9
"12",27155,25,31,1,30,9
"13",27495,18,31,3,16,9
"14",27564,25,31,6,28,8
"15",36909,22,31,3,30,12
"16",38073,24,31,7,28,9
"17",42107,14,31,1,5,15
"18",44545,27,31,1,31,8
"19",45440,17,28,7,15,7
"20",45570,27,31,1,30,8
"21",46763,25,31,1,30,11
"22",49698,20,30,6,20,7
"23",54868,21,31,1,28,13
"24",56842,22,31,9,20,7
"25",57183,28,31,1,30,8
"26",57733,19,31,5,20,10
"27",58506,23,31,2,25,8
"28",58954,30,31,29,30,1
"29",59297,27,31,15,29,5
"30",59560,24,31,1,30,10
"31",59779,28,31,5,30,8
"32",60644,30,31,28,30,2
"33",61931,14,31,1,6,13
"34",63795,17,31,3,15,8
"35",64389,22,31,1,30,13
"36",64705,12,30,1,8,11
"37",65126,28,31,1,30,8
"38",65635,13,28,2,12,10
"39",65640,18,31,3,20,10
"40",65857,27,31,3,30,8
"41",66158,16,31,1,15,16
"42",66671,10,25,2,9,6
"43",67112,3,8,1,2,3
"44",67513,28,31,1,31,8
"45",68999,27,31,5,30,8
"46",69428,6,6,5,6,1
"47",69529,22,30,11,24,8
"48",70148,11,31,2,11,9
"49",71866,4,4,4,4,NA
"50",71867,1,1,1,1,NA
"51",73628,28,31,3,30,6
"52",73639,12,23,3,10,7
"53",73802,25,31,3,30,9
"54",75702,25,31,2,30,9
"55",76118,4,5,3,4,1
"56",76815,23,31,5,29,11
"57",77537,7,16,2,4,8
"58",77792,19,31,1,22,11
"59",77844,28,31,3,30,8
"60",79024,28,31,3,30,6
"61",79624,6,12,2,6,4
"62",79912,24,31,6,27,9
"63",80470,29,31,3,30,6
"64",82952,4,4,4,4,NA
"65",84137,23,30,10,24,7
"66",85050,11,31,2,7,11
"67",85331,15,31,3,14,10
"68",86853,17,26,7,18,8
"69",87634,26,31,2,30,10
"70",87709,22,31,8,24,9
"71",92853,8,15,2,8,9
"72",92993,10,13,8,10,2
"73",103273,23,31,1,28,10
"74",103395,16,31,4,12,11
"75",104380,8,9,7,9,1
"76",104393,13,23,3,12,6
"77",105938,28,31,24,28,5
"78",106681,28,31,3,30,8
