"","city","bathrooms","bedrooms","beds","price","review_scores_rating","spoi1km","spoi5km","spoi10km","dist_train","beach1km","beach5km","city1km","city5km","city10km","home_apt","private_room","shared_room","Apartment","House","Townhouse"
"1","Potts Point",1,1,1,64,90,40,228,58,1,0,1,0,1,0,"0","1","0","1","0","0"
"2","Pyrmont",0,1,1,99,96,140,212,67,1,0,1,0,1,0,"0","1","0","0","1","0"
"3","Balgowlah",3,3,3,469,100,0,92,68,0,1,0,0,0,1,"1","0","0","0","1","0"
"4","Redfern",1,1,1,72,89,60,204,62,1,0,1,0,1,0,"0","1","0","1","0","0"
"5","Redfern",2,1,1,47,90,60,204,61,1,0,1,0,1,0,"0","0","1","1","0","0"
"6","Darlinghurst",1,1,1,110,88,100,208,54,1,0,1,0,1,0,"0","1","0","1","0","0"
"7","Balmain",2,4,4,451,95,60,240,72,0,0,0,0,1,0,"1","0","0","0","1","0"
"8","Bellevue Hill",1,1,1,70,92,0,76,64,0,0,1,0,0,1,"0","1","0","1","0","0"
"9","North Bondi",1,1,1,200,78,0,36,63,0,1,0,0,0,1,"1","0","0","1","0","0"
"10","North Bondi",1,2,2,173,78,0,36,62,0,1,0,0,0,1,"1","0","0","1","0","0"
"11","Bellevue Hill",1,1,1,80,94,0,60,72,0,0,1,0,0,1,"0","1","0","1","0","0"
"12","Fairfield West",2,1,1,60,100,0,28,29,0,0,0,0,0,1,"0","1","0","0","1","0"
"13","Sydney",1,1,1,68,91,0,132,62,0,0,1,0,1,0,"0","1","0","1","0","0"
"14","Bondi Beach",3,5,7,700,94,0,44,67,0,1,0,0,0,1,"1","0","0","0","1","0"
"15","Bondi",1,2,2,249,92,20,20,71,0,1,0,0,0,1,"1","0","0","1","0","0"
"16","North Bondi",1,1,1,225,78,0,36,64,0,1,0,0,0,1,"1","0","0","1","0","0"
"17","Bondi Beach",1,1,1,150,94,0,44,66,0,1,0,0,0,1,"1","0","0","1","0","0"
"18","Sydney",1,1,1,150,87,0,16,74,0,1,0,0,0,1,"1","0","0","1","0","0"
"19","Mosman",1,1,4,130,89,20,152,74,0,0,1,0,0,1,"1","0","0","1","0","0"
"20","Darling Point",1,1,1,170,97,0,236,54,0,1,0,0,1,0,"0","1","0","1","0","0"
"21","Coogee",2,1,1,90,100,0,16,73,0,1,0,0,0,1,"0","1","0","1","0","0"
"22","Bondi",1,1,1,95,98,0,52,69,0,0,1,0,0,1,"0","1","0","1","0","0"
"23","Lane Cove West",2,1,2,64,95,0,112,113,0,0,0,0,0,1,"0","1","0","0","1","0"
"24","Beacon Hill",1,2,4,105,98,0,12,44,0,0,1,0,0,0,"1","0","0","1","0","0"
"25","Alexandria",1,1,1,64,94,0,156,61,1,0,0,0,1,0,"0","1","0","0","1","0"
"26","Lane Cove West",2,1,2,64,93,0,112,114,0,0,0,0,0,1,"0","1","0","0","1","0"
"27","Cherrybrook",3.5,1,3,89,98,0,8,49,0,0,0,0,0,1,"0","1","0","0","1","0"
